desc,variable,translation,comparison,odds_ratio,ci_low,ci_high,p,non_sig
"Model 1, conventional",Intercept,Intercept,n/a,0.19524673999121736,0.12086475787701415,0.31540450787142055,2.461513778611606e-11,""
"Model 1, conventional",race_ethn_hl,Race/Ethnicity: Hispanic/Latino,White,1.4064858436575096,1.343392679049319,1.4725422129059795,4.6054035575217915e-48,""
"Model 1, conventional",race_ethn_black,Race/Ethnicity: Black,White,1.8433710325524033,1.7422415627461072,1.9503706238630805,3.680730027727447e-100,""
"Model 1, conventional",race_ethn_asian,Race/Ethnicity: Asian,White,1.4802962008921663,1.418130568665502,1.5451869459649472,8.357211743363512e-72,""
"Model 1, conventional",race_ethn_pacific_islander,Race/Ethnicity: Pacific Islander,White,1.9572313463388882,1.3299296546932324,2.8804189225896732,0.0006587129115798835,""
"Model 1, conventional",race_ethn_native,Race/Ethnicity: Native,White,1.4296291116361137,1.0466084129546909,1.9528214865648552,0.024687042833317716,*
"Model 1, conventional",race_ethn_missing,Race/Ethnicity: Missing,White,1.535021817263758,1.4601023437495406,1.6137854922037695,3.0970387415285355e-63,""
"Model 1, conventional",sex_is_female,Sex: Female,Sex: Male,0.9075989575158121,0.8797049611374764,0.9363774266075318,1.1477454265898321e-9,""
"Model 1, conventional",sex_missing_or_both,Sex: Missing/Both,Sex: Male,1.2126713168498044,1.136303974119059,1.2941710635574666,6.23511378200033e-9,""
"Model 1, conventional",age_lt_25,Age: <25,Age: 35–54,1.0391539583773823,0.9518224765688774,1.1344982660043763,0.39115822134148326,*
"Model 1, conventional",age_25_34,Age: 25–34,Age: 35–54,0.8785882455153756,0.8472365684925217,0.9111000797938286,2.9129692982633875e-12,""
"Model 1, conventional",age_45_54,Age: 45–54,Age: 35–54,1.2479923404761626,1.1988397093238088,1.2991602378316705,3.227163338581381e-27,""
"Model 1, conventional",age_55_64,Age: 55–64,Age: 35–54,1.2533843086254122,1.192439795461569,1.3174436404148282,6.660509140245664e-19,""
"Model 1, conventional",age_65_plus,Age: 65+,Age: 35–54,1.064234447238735,0.9920258573007037,1.141699029671787,0.08245206843979232,*
"Model 1, conventional",age_missing,Age: Missing,Age: 35–54,14.374326921047908,7.3997445174053675,27.922757866458333,3.61070786902947e-15,""
"Model 1, conventional",has_coapplicant,Coapplicant: Present,Coapplicant: None or Missing,0.7367493062631507,0.7136673017620091,0.7605778476036226,6.08297457142178e-79,""
"Model 1, conventional",income_log10,log10(Income),[numerical],1.1073208839959312,1.022790134135336,1.1988378643973943,0.011864388081423524,*
"Model 1, conventional",loan_amount_log10,log10(Loan Amount),[numerical],0.5435812209196285,0.49891417002011973,0.5922472471057658,3.9524537522828763e-44,""
"Model 1, conventional",dti_cat_mm_manageable,Debt-to-income: Manageable,Debt-to-income: Healthy,0.9986904828363045,0.9614572735554415,1.037365578211831,0.946107375518666,*
"Model 1, conventional",dti_cat_mm_unmanageable,Debt-to-income: Unmanageable,Debt-to-income: Healthy,1.3516713667278517,1.3004428944833837,1.404917887115483,9.425865092195944e-53,""
"Model 1, conventional",dti_cat_mm_struggling,Debt-to-income: Struggling,Debt-to-income: Healthy,45.402910267796,43.035812556725226,47.9002053944813,0.0,""
"Model 1, conventional",combined_loan_to_value_ratio,Loan-to-value ratio,[numerical],1.0144121233760925,1.0132297921413949,1.015595834265395,8.664163026164469e-128,""
"Model 1, conventional",term_lt_30y,Mortgage term: <30 years,Mortgage term: =30 years,1.0365301994300766,0.9738866273371566,1.1032032108996217,0.2593026453084277,*
"Model 1, conventional",term_gt_30y,Mortgage term: >30 years,Mortgage term: =30 years,2.783693933877135,2.1743039838519103,3.5638769808886734,4.606257808337765e-16,""
"Model 1, conventional",credit_model_simple_equifax,Credit model: Equifax,Credit model: TransUnion,1.0208174803290502,0.9849536548806321,1.0579871682101025,0.2588440311640524,*
"Model 1, conventional",credit_model_simple_experian,Credit model: Experian,Credit model: TransUnion,1.0485706094876919,1.0095767283211172,1.0890705899192143,0.014170908871674793,*
"Model 1, conventional",credit_model_simple_multiple,Credit model: Multiple,Credit model: TransUnion,0.7385076198964047,0.6819966935257274,0.7997010980002328,8.451215097199719e-14,""
"Model 1, conventional",credit_model_simple_other,Credit model: Other,Credit model: TransUnion,1.5483723590240777,1.3731080622147356,1.7460074907162386,9.799389994754455e-13,""
"Model 1, conventional",credit_model_simple_missing,Credit model: Missing,Credit model: TransUnion,1.6254390407868238,1.5374549750074489,1.7184581781337622,1.2717877872915344e-65,""
"Model 1, conventional",num_decisions_1000,"Lender decisions / 1,000",[numerical],1.0208034441227343,1.0187710604673448,1.0228398822546227,3.6089578613488447e-91,""
"Model 1, conventional",aus_coarse_desktop_no,Underwriting system: Not Desktop,Underwriting system: Desktop,0.8828402054835645,0.8540003155978955,0.9126540285557045,1.9291121731593027e-13,""
"Model 1, conventional",aus_coarse_missing,Underwriting system: Missing,Underwriting system: Desktop,2.924296171129455,2.795782202142475,3.0587175531517308,0.0,""
"Model 1, conventional",lender_type_cu,Lender type: Credit union,Lender type: Bank,1.2224749413711036,1.1271558337968175,1.3258548085993171,1.2353955532043788e-6,""
"Model 1, conventional",lender_type_ind,Lender type: Ind. mortgage co.,Lender type: Bank,0.7373672481435278,0.7156443338839082,0.7597495472142726,1.0164171724721693e-88,""
"Model 1, conventional",tract_whiteness_q1,Tract whiteness: 0%–25%,Tract whiteness: 75–100%,1.6861123104403037,1.5917485396825746,1.7860702570427887,1.0277346185270422e-70,""
"Model 1, conventional",tract_whiteness_q2,Tract whiteness: 25%–50%,Tract whiteness: 75–100%,1.3386475761379106,1.280274124145879,1.3996825361876322,1.2469551423991564e-37,""
